,datetime,Incident Category,Longitude,Latitude,date,year,hour,dayOfWeek,TimeOfDay,IsWeekend,IsHoliday,month,day,IsSchoolDay
2114,2022-10-28 02:50:00,Lost Property,-122.39856429383492,37.78898117261747,2022-10-28,2022,2,Friday,Rest,False,False,10,31,True
2657,2023-03-24 15:30:00,Other Miscellaneous,-122.39856429383492,37.78898117261747,2023-03-24,2023,15,Friday,Afternoon Class,False,False,3,31,True
4528,2023-09-19 23:15:00,Larceny Theft,-122.4005030970072,37.78745049797145,2023-09-19,2023,23,Tuesday,Rest,False,False,9,30,True
5548,2023-10-03 06:29:00,Malicious Mischief,-122.39856429383492,37.78898117261747,2023-10-03,2023,6,Tuesday,Rest,False,False,10,31,True
5556,2023-10-03 10:00:00,Larceny Theft,-122.40080859571334,37.78769894626064,2023-10-03,2023,10,Tuesday,Morning Class,False,False,10,31,True
6062,2022-11-14 23:00:00,Larceny Theft,-122.4511633003519,37.77424873347629,2022-11-14,2022,23,Monday,Rest,False,False,11,30,True
6266,2022-12-30 17:00:00,Malicious Mischief,-122.40948148898308,37.77545100451973,2022-12-30,2022,17,Friday,Dinner,False,False,12,31,False
6819,2023-02-06 17:30:00,Lost Property,-122.39856429383492,37.78898117261747,2023-02-06,2023,17,Monday,Dinner,False,False,2,28,True
6845,2022-11-10 06:00:00,Larceny Theft,-122.4511633003519,37.77424873347629,2022-11-10,2022,6,Thursday,Rest,False,False,11,30,True
7035,2022-11-05 22:00:00,Malicious Mischief,-122.4511633003519,37.77424873347629,2022-11-05,2022,22,Saturday,Rest,True,False,11,30,True
8141,2023-03-17 11:43:00,Fraud,-122.39856429383492,37.78898117261747,2023-03-17,2023,11,Friday,Lunch,False,False,3,31,True
8526,2022-03-31 17:00:00,Burglary,-122.4511633003519,37.77424873347629,2022-03-31,2022,17,Thursday,Dinner,False,False,3,31,True
11020,2023-10-07 06:15:00,Larceny Theft,-122.40948148898308,37.77545100451973,2023-10-07,2023,6,Saturday,Rest,True,False,10,31,True
14432,2023-10-10 17:00:00,Other Miscellaneous,-122.40104304688674,37.78788961267684,2023-10-10,2023,17,Tuesday,Dinner,False,False,10,31,True
14504,2023-10-10 17:00:00,Warrant,-122.40104304688674,37.78788961267684,2023-10-10,2023,17,Tuesday,Dinner,False,False,10,31,True
14611,2023-04-11 21:30:00,Other,-122.40080859571334,37.78769894626064,2023-04-11,2023,21,Tuesday,Rest,False,False,4,30,True
15899,2023-04-11 19:48:00,Other Miscellaneous,-122.40948148898308,37.77545100451973,2023-04-11,2023,19,Tuesday,Dinner,False,False,4,30,True
15972,2023-04-11 19:48:00,Larceny Theft,-122.40948148898308,37.77545100451973,2023-04-11,2023,19,Tuesday,Dinner,False,False,4,30,True
16427,2023-04-15 12:25:00,Non-Criminal,-122.4511633003519,37.77424873347629,2023-04-15,2023,12,Saturday,Lunch,True,False,4,30,True
17243,2023-04-06 20:36:00,Larceny Theft,-122.40080859571334,37.78769894626064,2023-04-06,2023,20,Thursday,Dinner,False,False,4,30,True
18718,2022-11-24 21:30:00,Larceny Theft,-122.40948148898308,37.77545100451973,2022-11-24,2022,21,Thursday,Rest,False,True,11,30,True
19243,2023-01-02 21:00:00,Larceny Theft,-122.4005030970072,37.78745049797145,2023-01-02,2023,21,Monday,Rest,False,True,1,31,True
20433,2023-04-19 20:00:00,Larceny Theft,-122.39856429383492,37.78898117261747,2023-04-19,2023,20,Wednesday,Dinner,False,False,4,30,True
21929,2023-09-26 20:30:00,Larceny Theft,-122.40080859571334,37.78769894626064,2023-09-26,2023,20,Tuesday,Dinner,False,False,9,30,True
22659,2023-04-24 20:00:00,Burglary,-122.40104304688674,37.78788961267684,2023-04-24,2023,20,Monday,Dinner,False,False,4,30,True
23915,2023-04-26 12:00:00,Other,-122.40948148898308,37.77545100451973,2023-04-26,2023,12,Wednesday,Lunch,False,False,4,30,True
25758,2023-08-28 10:13:00,Miscellaneous Investigation,-122.40080859571334,37.78769894626064,2023-08-28,2023,10,Monday,Morning Class,False,False,8,31,True
27682,2023-10-19 00:00:00,Larceny Theft,-122.40948148898308,37.77545100451973,2023-10-19,2023,0,Thursday,Rest,False,False,10,31,True
27683,2023-10-19 00:00:00,Larceny Theft,-122.40948148898308,37.77545100451973,2023-10-19,2023,0,Thursday,Rest,False,False,10,31,True
31190,2023-05-06 12:00:00,Larceny Theft,-122.4323845430984,37.79004420222155,2023-05-06,2023,12,Saturday,Lunch,True,False,5,31,False
32507,2023-05-12 07:30:00,Missing Person,-122.40948148898308,37.77545100451973,2023-05-12,2023,7,Friday,Morning Class,False,False,5,31,False
33145,2023-10-25 18:01:00,Suspicious Occ,-122.4323845430984,37.79004420222155,2023-10-25,2023,18,Wednesday,Dinner,False,False,10,31,True
36926,2023-05-23 12:40:00,Motor Vehicle Theft,-122.4005030970072,37.78745049797145,2023-05-23,2023,12,Tuesday,Lunch,False,False,5,31,False
37622,2023-05-24 14:00:00,Recovered Vehicle,-122.4511633003519,37.77424873347629,2023-05-24,2023,14,Wednesday,Afternoon Class,False,False,5,31,False
37703,2023-05-24 23:14:00,Weapons Offense,-122.40948148898308,37.77545100451973,2023-05-24,2023,23,Wednesday,Rest,False,False,5,31,False
37958,2023-05-19 08:00:00,Larceny Theft,-122.4323845430984,37.79004420222155,2023-05-19,2023,8,Friday,Morning Class,False,False,5,31,False
42800,2023-06-02 01:00:00,Larceny Theft,-122.40104304688674,37.78788961267684,2023-06-02,2023,1,Friday,Rest,False,False,6,30,False
43053,2023-04-25 00:00:00,Fraud,-122.40948148898308,37.77545100451973,2023-04-25,2023,0,Tuesday,Rest,False,False,4,30,True
44815,2023-05-29 06:30:00,Burglary,-122.40948148898308,37.77545100451973,2023-05-29,2023,6,Monday,Rest,False,True,5,31,False
47124,2023-06-12 12:48:00,Malicious Mischief,-122.4323845430984,37.79004420222155,2023-06-12,2023,12,Monday,Lunch,False,False,6,30,False
47712,2023-06-10 14:00:00,Lost Property,-122.4323845430984,37.79004420222155,2023-06-10,2023,14,Saturday,Afternoon Class,True,False,6,30,False
49350,2023-06-23 00:00:00,Non-Criminal,-122.39856429383492,37.78898117261747,2023-06-23,2023,0,Friday,Rest,False,False,6,30,False
49884,2023-06-26 07:45:00,Larceny Theft,-122.40104304688674,37.78788961267684,2023-06-26,2023,7,Monday,Morning Class,False,False,6,30,False
49965,2023-06-26 07:45:00,Fraud,-122.40104304688674,37.78788961267684,2023-06-26,2023,7,Monday,Morning Class,False,False,6,30,False
51200,2023-06-25 02:00:00,Larceny Theft,-122.40948148898308,37.77545100451973,2023-06-25,2023,2,Sunday,Rest,True,False,6,30,False
55081,2023-07-09 14:00:00,Larceny Theft,-122.39856429383492,37.78898117261747,2023-07-09,2023,14,Sunday,Afternoon Class,True,False,7,31,False
55686,2023-07-13 21:00:00,Larceny Theft,-122.4005030970072,37.78745049797145,2023-07-13,2023,21,Thursday,Rest,False,False,7,31,False
56759,2023-07-10 20:30:00,Larceny Theft,-122.4005030970072,37.78745049797145,2023-07-10,2023,20,Monday,Dinner,False,False,7,31,False
57104,2023-07-10 20:30:00,Larceny Theft,-122.4005030970072,37.78745049797145,2023-07-10,2023,20,Monday,Dinner,False,False,7,31,False
58798,2023-07-20 12:00:00,Fraud,-122.40948148898308,37.77545100451973,2023-07-20,2023,12,Thursday,Lunch,False,False,7,31,False
59616,2023-07-23 00:04:00,Malicious Mischief,-122.4005030970072,37.78745049797145,2023-07-23,2023,0,Sunday,Rest,True,False,7,31,False
63044,2023-06-10 01:01:00,Larceny Theft,-122.40948148898308,37.77545100451973,2023-06-10,2023,1,Saturday,Rest,True,False,6,30,False
63986,2023-08-02 00:39:00,Warrant,-122.40948148898308,37.77545100451973,2023-08-02,2023,0,Wednesday,Rest,False,False,8,31,True
64445,2023-08-02 00:39:00,Larceny Theft,-122.40948148898308,37.77545100451973,2023-08-02,2023,0,Wednesday,Rest,False,False,8,31,True
